id,name,status,species,gender,origin_name,location_name
1,Rick Sanchez,Alive,Human,Male,Earth (C-137),Citadel of Ricks
2,Morty Smith,Alive,Human,Male,unknown,Citadel of Ricks
3,Summer Smith,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
4,Beth Smith,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
5,Jerry Smith,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
6,Abadango Cluster Princess,Alive,Alien,Female,Abadango,Abadango
7,Abradolf Lincler,unknown,Human,Male,Earth (Replacement Dimension),Testicle Monster Dimension
8,Adjudicator Rick,Dead,Human,Male,unknown,Citadel of Ricks
9,Agency Director,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
10,Alan Rails,Dead,Human,Male,unknown,Worldender's lair
11,Albert Einstein,Dead,Human,Male,Earth (C-137),Earth (Replacement Dimension)
12,Alexander,Dead,Human,Male,Earth (C-137),Anatomy Park
13,Alien Googah,unknown,Alien,unknown,unknown,Earth (Replacement Dimension)
14,Alien Morty,unknown,Alien,Male,unknown,Citadel of Ricks
15,Alien Rick,unknown,Alien,Male,unknown,Citadel of Ricks
16,Amish Cyborg,Dead,Alien,Male,unknown,Earth (Replacement Dimension)
17,Annie,Alive,Human,Female,Earth (C-137),Anatomy Park
18,Antenna Morty,Alive,Human,Male,unknown,Citadel of Ricks
19,Antenna Rick,unknown,Human,Male,unknown,unknown
20,Ants in my Eyes Johnson,unknown,Human,Male,unknown,Interdimensional Cable
